object_id,name,location_label,location_name,type,accession,negative_number,upload_fname
10874,Bronze Objects,,,,,yale947,"Dura-Europos archival photograph, YUAG negative number yale947 -object-id-10874.jpg"
10875,Bronze Stud?,,,,1938.3594,1938'3598~01,"Dura-Europos archival photograph, YUAG negative number 1938'3598~01 -object-id-10875.jpg"
10876,Bronze Spoon,,,,1938.2717,1938'2724~01,"Dura-Europos archival photograph, YUAG negative number 1938'2724~01 -object-id-10876.jpg"
10879,Bronze Weight,,,,1938.2493,1938'2494~01,"Dura-Europos archival photograph, YUAG negative number 1938'2494~01 -object-id-10879.jpg"
10881,Bronze Ring,,,,1938.2602,1938'2604~01,"Dura-Europos archival photograph, YUAG negative number 1938'2604~01 -object-id-10881.jpg"
10882,Bronze Ring,,,,1938.2608,1938'2609~01,"Dura-Europos archival photograph, YUAG negative number 1938'2609~01 -object-id-10882.jpg"
10883,Bronze Ring,,,,1938.2377,1938'2378~01,"Dura-Europos archival photograph, YUAG negative number 1938'2378~01 -object-id-10883.jpg"
10884,Bronze Earring,,,,1938.3038,1938'3042~01,"Dura-Europos archival photograph, YUAG negative number 1938'3042~01 -object-id-10884.jpg"
10888,Bronze Ring,,,,1938.261,1938'2611~01,"Dura-Europos archival photograph, YUAG negative number 1938'2611~01 -object-id-10888.jpg"
10889,Bronze Ring,,,,1938.2384,1938'2387~01,"Dura-Europos archival photograph, YUAG negative number 1938'2387~01 -object-id-10889.jpg"
10890,bronze arrow head,,,,1938.2542,1938'2543~01,"Dura-Europos archival photograph, YUAG negative number 1938'2543~01 -object-id-10890.jpg"
10892,Small Bronze Weight,,,,1932.1607,1932'1608~01,"Dura-Europos archival photograph, YUAG negative number 1932'1608~01 -object-id-10892.jpg"
10895,Long Bronze Needle,,,,1929.389.1-14,1932'1547~01,"Dura-Europos archival photograph, YUAG negative number 1932'1547~01 -object-id-10895.jpg"
10896,bronze arrow head,,,,1938.2536,1938'2537~01,"Dura-Europos archival photograph, YUAG negative number 1938'2537~01 -object-id-10896.jpg"
10897,Bronze Harness Decoration,,,,1938.3194,1938'3197~01,"Dura-Europos archival photograph, YUAG negative number 1938'3197~01 -object-id-10897.jpg"
10898,bronze arrow head,,,,1938.2534,1938'2535~01,"Dura-Europos archival photograph, YUAG negative number 1938'2535~01 -object-id-10898.jpg"
10900,bronze arrow head,,,,1938.2525,1938'2533~01,"Dura-Europos archival photograph, YUAG negative number 1938'2533~01 -object-id-10900.jpg"
10901,Bronze Terminal-Knob,,,,1938.3182,1938'3313~01,"Dura-Europos archival photograph, YUAG negative number 1938'3313~01 -object-id-10901.jpg"
10902,bronze ring,,,,1938.237,1938'2379~01,"Dura-Europos archival photograph, YUAG negative number 1938'2379~01 -object-id-10902.jpg"
10903,Bronze Bell,,,,1938.1941,1938'1944~01,"Dura-Europos archival photograph, YUAG negative number 1938'1944~01 -object-id-10903.jpg"
